FRS_ID,TRI_FACILITY_ID
110000432498,60420RRDNNRR1BO
110000592109,46320STFFR2000M
110000591583,43725SHLDLSTATE
110012520744,44145MRCNM1000C
110001358343,60191HCHST901MI
110000417549,53151LCTRC17000
110000494206,49727STJRD301SP
110040862395,49423FCNDS615EA
110000439133,62288MRCND1003W
110000384913,43935WHLNG1134M
110000423248,54923BRLNT235SW
110017419523,54113PPLTN540PR
110000386261,44094CNCRD34000
110069727111,48121FRDM23001M
110000425889,55428CHRLS9101I
110000381391,43015THNPP801PI
110000888585,60638NLCCH6216W
110000700769,49506LCKSN1601G
110000425433,55413GRCNC6011T
110066942517,49508LCKSN4260A
110001363337,61105LLNSW4669S
110014341550,60106DCRGR1077S
110000438376,61832PTRSN1WEST
110000403448,47542XCTVFCORD4
110000607834,47966NLNDCCOUNT
110009619886,44483GMSPC1524P
110001925524,53186QLTYL1242L
110002109067,43074NSTLF185SC
110000438759,62040TRCRP12001
110000424611,55164KCHRFPOBOX
110000417139,53095SRGRP1859D
110000383442,43506BRYNM1103S
110000416997,53089QDGRPN63W2
110000423907,55068SPCTL13220
110000798370,55415THVLS1101S
110001130589,53094FSHRB201FR
110010358184,43326CCDNT13717
110000889450,60609LTTNP4545S
110000416407,53046CHMRT19725
110000422506,54603CNTNN1501S
110000420189,53704MDSNK201WA
110027360451,46312HCKTT3210W
110000397972,46320MRCNN25011
110000392691,45069DWRDJ6141C
110000418995,53223BDGRM4545W
110009454786,56573HNZPT1451S
110000594287,54771LSLMRRTE2B
110000605587,47025TNNRSAEPDR
110000435823,60650CHCGX1601S
110002115130,46514LKHRT2300C
110000437224,61108THVLS200SA
110000420704,54005LNDLK600FI
110000433521,60510DTCNV1245P
110056953890,45157CGBCK757OL
110000388081,44142SNTRM5372W
110009397795,55412RTXND3558S
110000391291,44805GNRLL1526C
110057185898,53158LWTRN86019
110000422800,54729NDNHD1610P
110001131454,61372TCHNSVERMI
110000416390,53045PRXRD100JA
110018074171,60658CRWNC5555W
110067426084,44055WSTRN5311W
110000425200,55378MRCNN12130
110001292645,60618DVRND2929N
110000555925,45225KHNSN3241S
110000389473,44313JTPCK1972A
110001224942,48026MLLYM18450
110002117968,48227NTCHN14200
110000845863,60007BRTLT70120
110002450400,45342PNNSY4634S
110002122621,55318QLTCH150JO
110042041563,45365CPLND1675W
110002125959,60656CLWLL7310W
110000431934,60185LQDCN1275N
110001348989,62221RHNCX100FL
110000436939,61101BRRNN129MO
110001299611,49201RJNDS405NO
110000390327,44618WYNDLUSRTE
110003092233,47167KMBLLHWY56
110002122747,55344MGNTC6754S
110000386396,44102LWCHM8300B
110000388394,44202RTCKN1400S
110000494135,49250HLLSD469BE
110000434218,60612LKWDN501NO
110015746754,48091MTLLR2703E
110002121622,54304STRBL995WA
110000493797,46804LNCLN1111N
110017419792,54481CNSLD2627W
110000436886,61081LWRNC2FIRS
110000409763,49203DCSTC522HU
110000593144,48611DWCRN5300E
110000396615,46158FDRLM451CO
110002112712,45014PLSTN5011F
110000417825,53172BCYRS1100M
110000391424,44816MHRRSRTE11
110000400450,46741RMWLN13757
110000386742,44105RPRDC6626U
110000863012,47546GTNDS2741C
110001129966,47043NTDST503VI
110000386412,44102MRCNN5300D
110001130758,54157BDGRP200WE
110000497445,55379RHRML800WE
110002111474,44274SCHLM1475W
110000381355,43015GNRLC148TO
110001138509,62526DMMSN900EA
110000438125,61607DDWRD7800S
110000400628,46755HNDRC101SP
110000434352,60617HRSHD2701E
110012697215,46514MTRCM2950G
110000396580,46143SFTYK475PA
110000399630,46567SYRCS1135S
110000390835,44680THBLDPOBOX
110008059055,61025RCSQR5755N
110000416522,53051MLSLV14765
110000420786,54022VLLRT715ST
110000432915,60441PNDTC16530
110015782786,44102RBNND1265W
110000421516,54303CLWSC901HI
110000911345,55121LLLND3045H
110000431907,60185GRFFN1920D
110002404835,54302HLRNS2220N
110002119145,49461HWMTC3850W
110000409264,49068MRSHL1506G
110009393021,48867BMCHS401SC
110000405589,48118CHLSM201WN
110001629694,44256BRKLY300LA
110042005077,49417DNNLL1800H
110000768009,54401HRTWG3526W
110000429377,60018THCHC2100S
110000428813,60007FPMHT1501S
110022523072,44011CTTNG98JAY
110000395171,45634SNDSH38701
110056971157,46571NSHKW324MO
110015680342,45385YDRDC851BE
110064148596,46506CPPRF1115W
110000888647,60610NTYMF1260N
110022523269,48218SCKBT14ZUG
110002331842,47649FRNCSCR850
110002357002,48045PLCNM24951
110037143668,49770PTSKYUS31S
110000403581,47567FRNKR6825N
110016703209,60638THCLR5063S
110005427751,54853DRXPR1121S
110000427048,56171LLNTN84412
110039073070,4606WVCNPR15215
110005853923,60636MDWST7400S
110012056899,46952WLYMT816W3
110025332691,43512STNDR116IN
110064148284,46563WTTND14531
110004730523,43605CSTMD1343M
110018413475,6143WBRNCH52SEI
110001442234,55021JNNTR25475
110000384575,43756GLCRC5130N
110028190918,4522WKBLRC1TRAD
110001322051,47012WRSCR128W8
110002116834,47978CHFND1225E
110033213902,4585WPTBRF3875S
110046371760,45879LXPRD81WGA
110005960344,6176WNRFLT2219W
110032883896,46268SPHLT4900W
110015828559,4521WSLMPB786AN
110037141269,6183WRGDNV3NAND
110006202475,45858CNSLDRADER
110001351796,46203GGRPT761SS
110064695753,6019WNVTRN6WHEB
110004736046,4403WLLMRC669SU
110000422702,54703HTCHN2435A
110000436966,61102DLPHN892SO
110066942535,46312CRNCX321WA
110002112730,45036FLNTN2675H
110057947628,5322WSPRMC791N7
110010456675,61744RNGGR116WS
110000497338,53154HYNTC4301E
110000381676,43056KCHMT800IR
110000768250,54957PRNTRPOBOX
110000416504,53051MGNTCN89W1
110000390853,44681SKYLN580MI
110000392655,45066DRRNC705PL
110002118681,49068PRGRS507IN
110064455307,4661WLJTXX1215S
110025316968,44483JXTCC1745V
110043694375,45162THHRT5374L
110000403180,47404NDPND303NC
110001629809,44256CHCKM945LA
110042427601,6045WNRTHF34EAS
110000767858,53037THRMSW208N
110000400726,46767CHLLN200GE
110002112525,44875TCHFR15ESM
110046262021,44203MRRYW11BRO
110000420991,54130WHTCLROUTE
110012603307,53016NTNLL640CO
110043782760,45011CTYFH960NT
110069727362,46860SSXGRUS30A
110003761992,55345DGCRP14901
110000418780,53214SMNSP1040S
110000901061,44105TNPLT7309U
110008233027,54949TLCNCROUTE
110003665383,49252HLXCN152SI
110055079702,55314MNNST777BO
110000605989,55369SPNCR10655
110000394975,45503SKLLY318EA
110027227249,4816WFCMLNPBX1X
110000863174,46226MRFDC6996E
110007601997,56763MRVNWUSHWY
110003131236,4672WPRCSN9WCNN
110000494288,53156STNDR1200W
110001237796,45802SPRRT650EW
110000741993,46013DLCRM6825P
110002110652,44103LTHCL820EA
110000427066,56209JNNFD501PL
110000833377,60626RGNCS7125N
110002123069,55418MDCNT40535
110041012132,60544ZNGLRILRTE
110069319473,5537WFRTRR77CRE
110012193401,43137WLMRT2525R
110001130703,53141KSNCX45001
110018331296,62458MRTHN2EFUR
110000845890,61723HPKNS303SW
110000893784,43506CMPNN215EA
110000850017,4490WMRSCR653LI
110002116157,46962DXTRX11870
110002112936,45169BNDYT277KE
110002335107,49443LMNDN1004E
110039494026,6224WFCGRN1USHW
110000850696,44902WRRNR800NM
110008732470,55112MNFCT4300W
110000500226,45459DYTNW115CO
110012251384,4524WMVRCK11379
110000405543,48116PCKGD12424
110014028104,60436PNGLC800MO
110002125138,60188PRNCC355EA
110000776269,62293HXGNHOLDHW
110000383923,43567KRDZL620WL
110046424749,4413WLLDCR2214W
110002109986,43920FRRCR1230R
110000437509,61244MCLGH14005
110002335125,53012LMNMNW60N1
110002037518,53946DLMNT425EJ
110000392717,45102STWRT3919B
110001337857,60970LFTMDOLDHI
110000496918,43758MLTCX13THS
110002111376,44241STPCX10010
110002124932,60123KNWLS440SO
110066942456,43913RSHGS36CUN
110008058029,47001DVMRC10585
110067041409,46919NTDTCNORTH
110000438900,62204MRTNN4200S
110000792946,46135CRWNQ2600E
110015679915,55408GYTST2744L
110009397768,55354MRQPS129SP
110004615284,43554KSTMF200IN
110002120909,53204LCFND1930S
110002111697,44413MRCNR200JA
110064165567,48058GMCTR660SO
110002109236,43207CNTRL2045B
110000393645,45233RVRTR5297R
110003066501,47454SMTHP313WI
110000435574,60639PRKVW4931W
110000889067,60104DNLXX1023S
110004635306,44240HSSPR3765S
110024463025,6010WFCMRC31LNG
110000393841,45242TWVRT10125
110001840759,48066MCHGN29461
110055498616,5470WMRCNMW3189
110069447138,62801DRTCH2529S
110015782429,46567MPLLF2764E
110002117254,48104SSCTD401EA
110001353044,46544SPXCR52SBY
110001386848,6082WCYGNS34E13
110002119083,49443MSKGN1839S
110000917937,48220WXFLT2615W
110014365301,5311WSPXFL1714H
110038844347,5389WWSKCM11SUT
110002109780,43554PNRTR500CE
110022811162,46711BRNTB918LI
110043554123,4305WSMLST1455J
110037143551,48895DMMRC1492E
110002117423,48150CHSCS39180
110002118262,48634NTDTC54ELE
110001624920,45209DVRLV5000B
110000790449,60018BRDLY2170S
110002116549,47421MDWST1350N
110008853197,56003NTNLR1730J
110024423934,60622MDWST1111N
110005427573,53204HYDRT229NA
110002316976,44222THFLL2900V
110013286942,60126SMBLX370CA
110002113864,45408NNFRR736AL
110002121258,53531WSCDR6LAKE
110001291682,60014KGRGS200CR
110009404000,55060TCPNT20524
110000388250,44146MRGNM232FO
110000397794,46312LTVST3001D
110000422383,54507RHNLN515WE
110000395279,45662MTCHL830MU
110000406766,48212LRSGL4601N
110005812371,6112WWDWRD51NRT
110000408032,48768STCHN5512S
110017436390,48078MYCPL42400
110005425682,54952WSCNS3RDAN
110001811745,60638GNRLP6600S
110000404759,48055GNRLM4555G
110000404312,47905RMGNT2800C
110000387171,44115MBLCL2846E
110000394323,45365STLLM2633C
110000591690,44146MRCNS26300
110000417077,53094SPNCSPOBOX
110000417424,53142MTTHW82011
110000767055,46507CFBNC17716
110000437849,61402BTLRM1020S
110004713016,43619LCTMT8001M
110000417754,53154PPGND10800
110041966147,46573HLDYR400IN
110001441173,48093KCHMT27350
110002117959,48227NLSNP12345
110000396063,45895KNTRB700LU
110000766868,45226MLTCL4575E
110000411180,49464HRMNM855EM
110042023743,45107MRCNS3343S
110000423532,54961CRWDN718HI
110000395082,45506TTJBS501WE
110000405954,48161NTNLG1500T
110000418183,53201MPCMT1745S
110004620063,45373PTMTV1255A
110041082949,61552CTRPLOLDGA
110001131187,56233HBBRDEHWY1
110000381569,43040RYLWS916DE
110000382201,43162CPTLM1501W
110000382452,43212GNRLC1701W
110001336475,60623BCRLC4544W
110000748406,47240BHNNGHIGHW
110000767019,46202NTDCT323W1
110038496712,45750MCPRFPOBOX
110000840564,44502LCTRC751EL
110000394074,45331BSFCRSTATE
110000747498,46506CRTVF405NI
110000420232,53707HMDXX3030O
110000385011,44004LCPCH3509M
110000745766,44024LSTCH160PA
110000437867,61434DXLNC26SW4
110000435672,60647CRSCN3650W
110003769093,55104MRCNN755NO
110000409987,49242DVNCD273IN
110000402163,47201NTNDR8251S
110000388152,44143NRTSN358BI
110000742206,46767FRDNB1497G
110003064567,62040PRCTM25NOR
110000416318,53038HLFRB110LI
110002110475,44094KHWRK4803E
110000404866,48060TNDCS24071
110002126440,62401NQMRB2600S
110007566856,46733SLBRL2010G
110000385299,44022TNPRD16824
110000435253,60636GNRLR1808M
110009398446,55304KNPPW16430
110000389721,44446RMCMP1000W
110000385468,44035PRKRH520TE
110000767279,47375STRCR1238R
110018104629,62363RCNCXRTE2B
110000409255,49068LRCRP820IN
110002122079,54936NTRRS525RO
110002453933,44094GLDNC35129
110001235100,47454PLNCD524NE
110002354880,46546MSHWK1016E
110001623128,43130RVRCB3200O
110002446096,53154KPPRS400WE
110009027793,49442GLLLY5142E
110000419921,53566BTRCC1053R
110015911138,60466THNTR2600B
110043794212,43056KSRLMROUTE
110001131374,61072SNCPR200HA
110002471959,60439RHMHSMAINS
110001442653,55060SPXCR655EI
110000790662,61455CPRPW510NP
110000602107,62319CDRCRRT99N
110000434888,60628MSRYC1140E
110018327005,61491BRZLLEWILL
110001130972,55435DCTLC4900W
110000404544,48021PRDCT23120
110002111312,44224NTNLM4880H
110002118486,48906WRGRC2401N
110000403563,47547JSPRC534E8
110001360189,46383CCCLF2351I
110069500533,46312NDNHR3210W
110002125771,60638FNRGN6935W
110000397133,46219LLTTW2900N
110000425175,55374GRCNC20500
110000435627,60644JNSNT21NOR
110000391503,44820THTMK2325E
110001230007,45365RLBLC1521W
110000822806,49068WLKRM904IN
110028019258,60915BNGFD885NK
110002120972,53207ZCLNC3270S
110013814827,53177BMBRD10101
110000398793,46515LKHRT1255O
110000393814,45242SRMTC11495
110017395246,44077VRYXX250CH
110000407015,48223BRNNG19001
110015655129,45014SPRRS320NO
110000768376,56345CRSTL60913
110064148881,47265NRTHVHWY75
110000592733,47558VKNGMCR100
110000398061,46350KYSTN1500G
110000416942,53085PLYVN320RA
110000386145,44092HNDRS28910
110017401177,49203MCHGN2313B
110003760653,56573BRRLF8004T
110013764916,61104RYCRL60018
110000419413,53404SRGTK3037M
110001804575,60632BSFCR3030W
110001130160,48089BRDNN26155
110000570882,55336SSCTD818E9
110000790608,48087MNPCR44225
110002121463,54002MDMRC10306
110002455968,48220RCHLD707WO
110001685347,60085GLDBN515SE
110006004974,46540GLSTC12720
110017401426,48858MPLRL1011I
110000903504,60120SHKPR1201S
110000436467,61021DNLDS815PR
110000394216,45356PQCMP918SO
110006530682,60131HNTRP9201B
110008743618,55303BLLNT840MC
110007769888,54552SPCLTHWY18
110009374621,60942THPLL215WW
110000605934,54748MPNRTMAINS
110000394699,45404HHMNP814HI
110002115390,46553FLXST72104
110064104589,47802HYDRT1330L
110043782261,60436JLTGN1601S
110021100299,45331BCKYG9300C
110009368291,60143TWBLD1349W
110000904647,44280WBBST675LI
110000420580,53950WLKRS625ST
110055079677,55432SPCPL16083
110003099913,46176LBBYW300NR
110002111802,44483WSTMN101TI
110003091341,47274HMPRD104W9
110000391255,44730STRKC600WE
110005907082,61802PLNGN2401N
110002119387,49677YPLTS128ES
110004685029,45040RLNCM3535K
110008808255,55330TSCMC12616
110012706036,43068DYNLB555LA
110000433371,60501WNSCR5824S
110003705027,48108CYMNC118EE
110037144462,46176MTLSP1717M
110025332520,53207BCYRS184WK
110037144104,53086HWLFS414KE
110000893436,44420SYRST1170N
110003111935,46345DWYRN120HU
110000402172,47201RGHTW7945S
110039493713,4790WLLYCS971SR
110006238053,44691GSTTN4ELIN
110000746774,56201WLLMR2500A
110043191694,45102SLTNS397BA
110043670710,4472WTHTMK45MTP
110002472075,47122DWRDV5171M
110012179347,5470WCLRCP497KA
110038458816,45714SKYLN12355
110031001467,54725WSTRNN1185
110000899412,60153KRNKM2601G
110002339005,54554PHLPS2527H
110001448238,56716NWFLY2145T
110063999268,4673WPRSTR7855N
110000385734,44060STRSC6515H
110064365413,4487WMTDCN35MAN
110060257831,6005WZNGBR2121S
110009449917,5430WMCTCH1281P
110000412296,49795HGGNS108GA
110057981313,48079CLLNS2001C
110043693820,4640WPRRMT2555W
110054838459,48217DTRTS1025S
110000406784,48213PVSTC6500F
110000387091,44113THFRR2151S
110000493412,43832NCXXX100EN
110025317100,48375SPRTN44922
110012705108,48371CDLLC2271X
110000423738,55033MSTRN1000S
110009398678,55421SFTRN4650M
110037072057,53597MRSHL6MARS
110012454682,60107TCRGR1536B
110001825231,49946CLTXC200SO
110055498652,5618WCHMPN166RW
110000391497,44820RYDRH126EI
110002125165,60201CRDLN1948R
110000409790,49203MCHNR1725A
110000425549,55414NVRSL800KA
110008822373,55126CNTRL4201N
110038434129,45246HRXDV382CI
110037072039,49120NLSLM1434S
110002114612,46219MRCNC404SK
110012175243,4428WRMNGT961SE
110018075946,60901KMDWS235WS
110001334379,60942FMCCR103EM
110000385814,44076KNNMT180PE
110000772138,60104CMBND2401W
110012705812,45373MTKPW2220C
110000398524,46506BRMTW1456S
110003131165,46581THFLX1510A
110040981774,60545PLNMTRTE34
110000434566,60622DRCNC1025W
110009514481,53221KCSND511SO
110002110439,44087PLTRS1605E
110057354116,5503WHSTNG171VE
110060259508,4808WNNVTV2654E
110022810715,48307SPRRM11SST
110012000360,46514SPCLT55226
110002116978,48060JRVSB2210B
110002112758,45039LNSCR1413G
110013815023,45331SHRDR111VI
110001840517,49504HWRTH1642B
110000438189,61701PRNML113SE
110000420642,53963SLGNC505LI
110003126279,46516LKKBR21611
110002125496,60616MRYMN2907S
110000768054,54304CLNNG3190C
110000497141,48229GRTLKNO1QU
110000423694,55021SNYDR30024
110000825625,43609MNFCT400SO
110000394109,45331VNLRC526MA
110000399113,46526GSHNR1525S
110000395359,45801DNCRP777BI
110000591556,43551CMMRC3RDDS
110007224743,48220WLKRW660E2
110002341485,56164BYLNR911SI
110000422230,54481STLKN2700C
110000401814,47006BTSVLEASTP
110000381756,43078CHVTC720SO
110000421749,54401HFFRC310BE
110000496972,44128RVWMT4465J
110000395340,45750VNGRD1409G
110000400548,46750MCNCX1819W
110000438116,61605CTRPL2411W
110013718842,60435CRSFL101IN
110000401789,46996PLYMT700W1
110000407523,48450HRNMN6554L
110000822824,49120SHLLR1501S
110000573772,47374MNVLL814RI
110041010526,61010QLTYM4THAN
110010306784,48178QNXMC400MC
110000390096,44509GNRLL280NM
110000400183,46714LMCST0059N
110000391790,44870NNCHN1010E
110000402886,47371WMMFG1000N
110000791215,60120SCNCM1717G
110013287380,48921BCLNS920TO
110000416951,53085TCMSH415CL
110000431532,60160PNRPN1529N
110011435759,48879FDRLMSTEEL
110000394467,45377NLNDD480ND
110007332822,53083KHLRCCOUNT
110000392423,45039CNCNN537GR
110042066466,44144RWYYR8525C
110000858563,53172VRBRT315MA
110000398141,46350TLDYN300PH
110000402476,47274SNSMF1700E
110000850758,53154BRDNN530WM
110002124843,60090MCLNM410ME
110042035758,44117RGTCH23555
110039508725,45212DSGNC2501N
110006195777,43512MNVLLCOLUM
110001927309,53201MLWKT131S7
110000390318,44615FSNCR160SC
110001624243,43558PLLDC105WO
110005548327,54904BMSFL2450B
110000911032,47111CMRCSHWY62
110000766662,44281LKMFG456SO
110000408988,49022MCHGN1256M
110000411723,49509BSFCR836CH
110000429457,60031MZRCH3938P
110001131203,60090RXSLD634GL
110000428724,60007BLRMN2201L
110000423275,54929WLKRF250SP
110000386083,44087SMLST1400E
110000429313,60018KSTRS515EA
110000426272,55720SGNTR35ARC
110000400012,46702NTDTC303NO
110012641025,44011XRSCR34250
110041095392,46910KRNFN501MA
110041172110,60411CRVLL3333E
110000405115,48078FRDMT41111
110007333475,53082MTKPL502IN
110043482237,60077CSTWL7800N
