GHG_ID,FRS_ID
1006451,110000307864
1003759,110000310084
1011746,110000315784
1006408,110000316266
1002437,110000316970
1003424,110000321492
1001283,110000321811
1007995,110000322259
1000777,110000324177
1006608,110000324845
1001243,110000324934
1006341,110000325050
1002583,110000325407
1006950,110000328547
1002921,110000328814
1007981,110000331221
1002914,110000331285
1005590,110000332220
1003593,110000332578
1003379,110000334200
1007466,110000336440
1000875,110000338064
1001082,110000338821
1001616,110000339713
1003595,110000341381
1003176,110000341684
1000294,110000342380
1000627,110000342460
1001228,110000342629
1000257,110000342772
1007916,110000344182
1006239,110000346000
1005055,110000346992
1000026,110000347802
1000909,110000352564
1011456,110000354063
1004315,110000354679
1001497,110000361929
1001502,110000363455
1001485,110000363963
1006667,110000365836
1000159,110000366318
1003213,110000367745
1007829,110000367834
1004333,110000369468
1000296,110000370544
1011241,110000371204
1004720,110000372285
1006906,110000373480
1004190,110000374283
1001189,110000375781
1006535,110000377896
1004133,110000378494
1007391,110000379812
1006061,110000380837
1003419,110000384735
1000621,110000386225
1006952,110000386332
1004615,110000389213
1006625,110000389482
1000177,110000389847
1010145,110000391406
1002188,110000392628
1002904,110000392673
1001842,110000393958
1006212,110000394056
1000183,110000395117
1005177,110000395974
1002433,110000396624
1001533,110000396991
1001155,110000397516
1001090,110000397963
1000427,110000401725
1010674,110000403420
1007511,110000403670
1000676,110000405927
1005551,110000406837
1003967,110000407783
1005758,110000407881
1007980,110000410760
1005337,110000412170
1006129,110000412394
1005838,110000412447
1001553,110000415355
1005442,110000417228
1004608,110000419789
1000987,110000421384
1010901,110000422702
1002596,110000423140
1004885,110000423453
1001291,110000423658
1006985,110000424611
1001945,110000427128
1007000,110000428421
1009615,110000434833
1005990,110000437965
1005019,110000439918
1006112,110000442423
1001063,110000442548
1003513,110000443093
1002225,110000443725
1000716,110000444243
1002143,110000445643
1007597,110000448249
1007664,110000448668
1002263,110000450477
1003635,110000450761
1003501,110000450878
1004304,110000450912
1001002,110000451788
1004503,110000454197
1001913,110000455604
1002019,110000457087
1005127,110000458406
1007792,110000459209
1011325,110000459968
1001905,110000463007
1005467,110000463249
1003781,110000463944
1007458,110000464024
1001040,110000464426
1007663,110000464550
1004740,110000468324
1006039,110000469243
1010774,110000476048
1005864,110000479090
1002566,110000481915
1005658,110000482166
1011389,110000482898
1001804,110000483245
1007940,110000488838
1009361,110000490772
1005156,110000490870
1000893,110000492324
1005077,110000494796
1004058,110000495839
1007255,110000496776
1000407,110000496838
1001834,110000497141
1005088,110000498033
1002145,110000498710
1006393,110000499531
1006407,110000502858
1002334,110000505506
1006124,110000506060
1001625,110000508086
