FRS_ID,TRI_FACILITY_ID,GHG_ID
110000494206,49727STJRD301SP,1005527
110017419523,54113PPLTN540PR,1001762
110017419523,54113PPLTN540PR,1000078
110000607834,47966NLNDCCOUNT,1007266
110000424611,55164KCHRFPOBOX,1006985
110000424611,55164KCHRFPOBOX,1010504
110000605587,47025TNNRSAEPDR,1001532
110056953890,45157CGBCK757OL,1000840
110000497445,55379RHRML800WE,1005546
110000438125,61607DDWRD7800S,1001514
110000434352,60617HRSHD2701E,1004427
110022523269,48218SCKBT14ZUG,1007392
110000403581,47567FRNKR6825N,1001545
110000427048,56171LLNTN84412,1000685
110033213902,4585WPTBRF3875S,1007730
110000422702,54703HTCHN2435A,1010901
110043782760,45011CTYFH960NT,1000856
110055079702,55314MNNST777BO,1011915
110000397794,46312LTVST3001D,1000588
110000422383,54507RHNLN515WE,1005991
110005425682,54952WSCNS3RDAN,1004222
110038496712,45750MCPRFPOBOX,1008750
110043794212,43056KSRLMROUTE,1007957
110028019258,60915BNGFD885NK,1005076
110043782261,60436JLTGN1601S,1001519
110031001467,54725WSTRNN1185,1006022
110054838459,48217DTRTS1025S,1010625
110001825231,49946CLTXC200SO,1006082
110000497141,48229GRTLKNO1QU,1001834
110010306784,48178QNXMC400MC,1008897
110000426272,55720SGNTR35ARC,1001901
110004588875,44053FRSTN7107W,1000109
110015870912,56001HNYMD2060S,1004656
110000385878,44077CTYFP325RI,1002545
110000772593,60938NCBRS540EU,1004033
110056339886,54904TCNRG4995S,1007093
110002354602,47885WBSHR444WS,1004699
110013962514,53207JNSSL700EA,1003426
110041568568,44875HSTLT140WE,1005385
110000403215,47421GMCCNNORTH,1002875
110050297936,62526DMCRN4666F,1005661
110000395117,45601MDCRP401SP,1000183
110000384361,43616SHLCM4001C,1006078
110018071922,60507CTRPLRT31B,1003985
110000384487,43701RMCDV1724L,1003418
110000437974,61547GLDSC8300W,1005465
110000382069,43137MRCNL9301U,1000846
110000493706,46392NRTHR2723E,1001023
110000420152,53703MDSNG717EM,1000979
110021308253,61858VRMLN6MILE,1001526
110064338104,4470WTHTMK2514W,1003861
110016940159,53094CNCRDN8914,1001086
110007565214,47150PSNRG30JAC,1001543
110057376398,45805BPCHMFORTA,1002955
110000741966,45750LKMMTROUTE,1004376
110033594064,44142FRDMT5600H,1002752
110000412367,49858GRTLK7014T,1007603
110044891150,47620SGCBB8511W,1001033
110000384307,43616CLTNC1400O,1009487
110000410396,49417GRNDH1231N,1002371
110018241829,62361SYLNDHWY10,1007331
110041204265,47501GRNPR2000S,1004640
110000547052,45802RCDNH1900F,1002229
110000497150,48441DTRTD755NH,1007428
110000595543,61350LBBYWCENTE,1004072
110017408287,46992SGNTRMILLS,1007883
110043795970,53190LSPWH111CO,1001292
110056973333,43931RMTCRPOBOX,1003843
110009423203,43402RMTCN11HAS,1009675
110001306293,47102MRGNF90WES,1006765
110000426263,55720PTLTCNORTH,1001995
110000383184,43416BRSHWSOUTH,1011243
110000404839,48060JMSRV218RI,1005704
110041503067,43025GNWRK611ON,1004717
110000500501,62739MRNCR134CI,1006889
110000412045,49634PCKGN2245U,1006367
110000397712,46302XDCRP2601W,1004345
110000496981,44622NNCMP875HA,1005866
110000438679,62002LCLDSCUTST,1003268
110010534261,43616SNRFN1819W,1001056
110000395625,45840CPRTRLIMAW,1004220
110017410595,47933NCRST400SO,1004151
110000767206,47025JSPHS7RIDG,1004530
110008604670,44815HLMNC1967W,1004020
110000412321,49829PPRPN2000P,1002697
110001318832,49099WHTPG15781,1004553
110017410318,61327XLNCXRRIBO,1005944
110000792508,47394NCHRG603EN,1006060
110024825509,49840WSTRN181WC,1002725
110038439687,6143WBGRVR11SE2,1006787
110032592317,46962PTBRF868E8,1007525
110037615694,45331NDRSN5728E,1000035
110067409593,4638WPRTTP35ANT,1011979
110000425040,55350HTCHN40WES,1010902
110000406640,48211CDLLC2500E,1003225
110000397963,46320MRCNM1100I,1001090
110000612212,61641KYSTN7000S,1004811
110003086320,46312SGYPS3501C,1002300
110000437616,61301CRSCH1500E,1003956
110000605417,43811MRCNL47201,1000845
110000422846,54806NRTHR122N1,1000978
110043569821,43611LBBYG940AS,1005121
110020155945,55021MNNST41PAR,1007314
110005518136,54166SHWNPRTEMM,1002871
110041175000,47336KRRXX524EC,1000002
110040894761,62306QNCYS1900G,1000376
110000397419,46231QMTCN7870W,1003794
110040904091,61244JHNDR11001,1001732
110042084570,49720MDSCMBELLS,1005629
110000434833,60626SCLCT6601N,1009615
110000383870,43566MNVLL6050R,1002907
110043788327,45620MRCNL7397N,1001194
110056958582,44130PRDCT12900,1010675
110000434717,60623CRWFR3501S,1001518
110000404349,47928PSCYG3300N,1001540
110000395162,45631HVLLY5758O,1000853
110039503089,5615WHGHWT245US,1005586
110000850623,45804SRMYL1155B,1002228
110041188773,60064BBTTL1400N,1002975
110038174098,60914BRMNGRR1BO,1002621
110000384673,43812CSHCTSTATE,1003417
110067426654,45001MNSNT356TH,1002879
110000846167,46051WNSBRBROOK,1006551
110000423140,54912PPLTN825EW,1002596
110000422249,54481WTRRN2691W,1002854
110021016229,45804SPLML122SM,1004504
110017393907,47933CRWFR700LA,1003132
110046371500,4504WSNCKN3353Y,1006159
110000411956,49601CMCST23010,1006980
110006108942,43545CMPBLEASTM,1004254
110018218720,61254BPNCXHIGHW,1000037
110000391380,44811CNTRL605GO,1002526
110000394742,45414MLSNC5600B,1001624
110000422392,54552FLMBP200NO,1007644
110000410742,49431THDWCSOUTH,1001708
110000417923,53184SGNTR208AD,1006051
110025333388,48917GNRLM85REL,1004605
110018167053,62454CCRBN12187,1005939
110000420884,54115NCLTP200MA,1004045
110007346229,54880CLMCRHILLA,1002919
110018270672,60411RHDNC12STA,1006664
110032665300,46510LSDRY7344S,1002988
110000392496,45042JFFRS407CH,1004982
110005266620,53022GRMNTN96W1,1006633
110018406679,62040GRNTC20THS,1006041
110000382906,43302WHRLP1300M,1006233
110000544215,54481CNSLD707AR,1006193
110000438884,62201THYLPMONSA,1003853
110024424513,48866MCHGN431WW,1011582
110037247912,47567NDNPLRRTE1,1001536
110056964067,45856PRTCC5000C,1003136
110024470240,6132WMRQSN11953,1005374
110000439918,62914BNGCR304TH,1005019
110000392174,45013CHMPN601NO,1005904
110015742605,49707LFRGCFORDA,1005874
110000385066,44004SCMCH2426M,1006866
110000404278,47905CTRPL3701S,1004470
110000733047,49660MRTNT1806T,1001663
110000386332,44095FRSTN10ERI,1006952
110000426487,55912STNTL37011,1005945
110000403661,47620CGBSY2781B,1010549
110000420973,54130THLMNTHILM,1002339
110000391898,44901MPRDT913BO,1006530
110000395974,45885THGDY1115S,1005177
110000425807,55425CYPRS2401E,1000354
110000437091,61104GNTCR302PE,1009622
110000547196,60450KZCHMTABLE,1007343
110000497034,45414CRGLL3201N,1006637
110000410760,49441CWCCS2672H,1007980
110000393333,45217PRCTR5201S,1000186
110000420385,53901CLMBNW8385,1001186
110000595856,62960LLDSGUSHWY,1000631
110041028492,55721BSWLL1200N,1000687
110022523447,56119MNNST121ZE,1006609
110009699282,44646GRFPC787WA,1004536
110002379060,49660MRTNM1800E,1005855
110018338155,6293WTHMRC985HI,1010108
110002034539,54125GDMNV200CA,1007559
110000427440,56560MRCNC2500N,1006877
110000425059,55350MMGMDHIGHW,1004914
110000436314,61008BLVDR3000W,1002357
110000395475,45804SHLCM1150S,1000411
110000421464,54302GRNBY1601N,1001825
110000437812,61364WNSLL901NS,1002189
110000900008,48077STRLN35777,1005484
110000382773,43229NHSRB700ES,1006111
110043779783,54474WSTNP2501M,1000986
110001961912,47885PSWBS450BO,1007378
110030735916,60619VRSNC1355E,1008735
110000426548,55965PRCRN701IN,1004230
110000404517,48006DTRTD7000K,1001012
110000421776,54401MXXXX144RO,1007698
110056958662,43430GRYMN21880,1002767
110009453251,61834FBRTQ3650S,1009616
